time,l18,l30,isin,id,cs,cs_id,z,bvol,mv,eps,pe,tmin,tmax,pmin,pmax,py,pf,pl,plc,plp,pc,pcc,pcp,tno,tvol,tval,Buy_CountI,Buy_CountN,Sell_CountI,Sell_CountN,Buy_I_Volume,Buy_N_Volume,Sell_I_Volume,Sell_N_Volume,zd1,qd1,pd1,po1,qo1,zo1,zd2,qd2,pd2,po2,qo2,zo2,zd3,qd3,pd3,po3,qo3,zo3,zd4,qd4,pd4,po4,qo4,zo4,zd5,qd5,pd5,po5,qo5,zo5
12:25:47,خپویش,سازه‌ پویش,IRO1SZPO0001,4758266259250794,خودرو و ساخت قطعات,34,5567544680,1,15104748716840,138.0,19.7,2661,2825,2670,2750,2743,2734,2730,-13,-0.47,2713,-30,-1.09,81,1385286,3757980511,38,0,24,1,1385286,0,1198209,187077,1,5000,2710,2730,17370,1,2,42185,2700,2750,69025,2,1,181000,2690,2762,60000,1,1,1900,2678,2763,181000,1,1,1900,2668,2773,20000,1
12:02:20,کاریز,بیمه زندگی کاریزما,IRO7CMIZ0001,15962072736526551,بیمه و صندوق بازنشستگی به جز تامین اجتماعی,66,2400000000,1,26976000000000,1097.0,10.2,10600,11240,11220,11240,10920,11240,11240,320,2.93,11240,320,2.93,81,2272040,25535685600,30,5,14,3,1630385,641655,1508121,763919,9,306327,11240,0,0,0,2,19503,11070,0,0,0,1,5000,11060,0,0,0,3,110000,10930,0,0,0,0,0,0,0,0,0
12:21:57,شملی,ملی شیمی کشاورز,IRO3MECZ0001,55862580907068610,محصولات شیمیایی,44,2717990000,1,11839564440000,1019.0,4.3,4104,4356,4356,4356,4230,4356,4356,126,2.98,4356,126,2.98,81,10082588,43919753328,8,2,13,2,6882588,3200000,452588,9630000,64,18657276,4356,0,0,0,2,31219,4104,0,0,0,1,2500,3439,0,0,0,1,3000,3216,0,0,0,0,0,0,0,0,0
12:27:02,وشمال,س. چشم انداز توسعه شمال,IRO7SHOP0001,9761381741308262,سرمایه‌گذاری‌ها,56,121900000,1,1712695000000,-423.0,-33.2,13950,14810,13950,14440,14380,13950,14100,-280,-1.95,14050,-330,-2.29,80,719976,10114176550,31,0,29,0,719976,0,719976,0,2,12339,14090,14410,200,1,1,10000,14020,14420,16600,1,1,10000,14010,14430,19865,2,4,33700,14000,14450,22080,1,2,14500,13980,14700,3800,1
12:22:00,لبوتان,گروه‌صنعتی‌بوتان,IRO1BOTA0001,30650426998863332,ماشین‌آلات و تجهیزات,29,14267348000,1,42459627648000,424.0,7.0,2829,3003,2889,3003,2916,2963,3003,87,2.98,2976,60,2.06,80,3903418,11617973783,13,1,42,4,3757418,146000,1956418,1947000,10,214797,3003,0,0,0,1,1716,2915,0,0,0,1,50000,2910,0,0,0,1,10000,2870,0,0,0,1,10000,2867,0,0,0
11:58:21,شراز,پالایش نفت شیراز,IRO1PRZZ0001,14031158866706953,فراورده‌های نفتی، کک و سوخت هسته‌ای,23,11000000000,1,467610000000000,6925.0,6.1,40050,42510,42510,42510,41280,42510,42510,1230,2.98,42510,1230,2.98,79,1156840,49177268400,9,2,54,1,956840,200000,156840,1000000,351,21688366,42510,0,0,0,2,646,42500,0,0,0,1,20000,41810,0,0,0,5,3638,41280,0,0,0,2,630,40080,0,0,0
12:29:46,آوا,صندوق س.سهام آوای معیار-س,IRT3AVAF0001,18007109712724189,صندوق سرمایه‌گذاری قابل معامله,68,500000000,1,11286500000000,,,22278,23654,22278,23448,22966,22278,23100,134,0.58,22573,-393,-1.71,79,499664,11278791692,26,1,24,0,212443,287221,499664,0,2,34490,23100,23380,5000,1,3,118416,23070,23445,507,1,1,114650,23050,23463,100000,1,2,229300,23021,23470,4296,2,1,12110,23020,23550,2301,1
12:25:02,تکشا,گسترش‌صنایع‌وخدمات‌کشاورزی,IRO1GSKE0001,62258804563636993,ماشین‌آلات و تجهیزات,29,800000000,1,11040000000000,161.0,85.7,13000,13800,13800,13800,13400,13800,13800,400,2.99,13800,400,2.99,79,1537724,21220591200,30,0,29,1,1537724,0,537724,1000000,374,13842468,13800,0,0,0,1,2288,13700,0,0,0,1,515,13600,0,0,0,24,256727,13400,0,0,0,1,378,13300,0,0,0
12:26:15,ددانا,داروسازی دانا,IRO3DPHZ0001,69540585676934415,مواد و محصولات دارویی,43,14400000000,1,93312000000000,1383.0,4.7,6120,6480,6480,6480,6300,6480,6480,180,2.86,6480,180,2.86,79,2731531,17700320880,14,2,50,2,2331531,400000,11531,2720000,794,131539013,6480,0,0,0,1,10000,6450,0,0,0,2,25568,6400,0,0,0,5,284233,6300,0,0,0,1,6336,6290,0,0,0
12:28:34,ثنظام,س. ساختمانی نظام مهندسی ایران,IRO7NZMP0001,45066064863062755,انبوه‌سازی، املاک و مستغلات,70,74530360,1,4222144894000,-569.0,-99.6,56550,59950,56550,59450,58250,56550,56550,-1700,-2.92,56650,-1600,-2.75,77,251010,14214227300,21,1,13,0,91590,159420,251010,0,0,0,0,57500,2000,1,0,0,0,57550,8000,2,0,0,0,59350,1000,1,0,0,0,59500,9068,2,0,0,0,59750,7000,2
